major,url,coursedepartment,coursemodeofstudy,education_background
Cognitive Behavioural Therapy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-cognitive-behavioural-therapy,Department for Continuing Education,        Part time  ,        6-8 years  
Cognitive Behavioural Therapy MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-cognitive-behavioural-therapy,Department for Continuing Education,        Part time  ,"        Up to 2 years, dependent on specialism  "
Cognitive Behavioural Therapy PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-cognitive-behavioural-therapy,Department for Continuing Education,        Part time  ,        Up to 1 year  
Cognitive Behavioural Therapy PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-cognitive-behavioural-therapy,Department for Continuing Education,        Part time  ,        9 months  
Comparative Literature and Critical Translation MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-comparative-literature-critical-translation,"Oxford Comparative Criticism and Translation, Humanities Interdisciplinary Courses",        Full time  ,        9 months  
Comparative Social Policy MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-comparative-social-policy,Department of Social Policy and Intervention,        Full time  ,        21 months  
Comparative Social Policy MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-comparative-social-policy,Department of Social Policy and Intervention,        Full time  ,        1 year  
Computational Discovery DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-computational-discovery,Medical Sciences Doctoral Training Centre,        Full time  ,        3-4 years  
Computer Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-computer-science,Department of Computer Science,        Full time  ,        3-4 years  
Condensed Matter Physics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-condensed-matter-physics,Department of Physics,        Full time  ,        3-4 years  
Contemporary Chinese Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-contemporary-chinese-studies,"Oxford School of Global and Area Studies, Faculty of Oriental Studies",        Full time  ,        1 year  
Continuing Education DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-continuing-education,Department for Continuing Education,        Part time  ,        4-8 years  
Creative Writing MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-creative-writing,Department for Continuing Education,        Part time  ,        2 years  
